system:index,BII2020,driver,.geo
1_1_1_1_2_1849,0.8435549736022949,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.32347968760823,-3.6134548481882787]}"
1_1_1_1_2_1871,0.8615732192993164,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.04864087420484,0.15319436659447128]}"
1_1_1_1_2_1892,0.7231581807136536,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.04718456659977,0.5949802607945591]}"
1_1_1_1_2_1908,0.6115564703941345,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.64024980494685,0.06414689841209445]}"
1_1_1_1_2_1927,0.6760026216506958,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.24782680476844,-2.1346740167200524]}"
1_1_1_1_2_1961,0.7393701076507568,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.58875711956796,1.5504278844706103]}"
1_1_1_1_2_1962,0.7468822002410889,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.60019259249798,-0.582634602056914]}"
1_1_1_1_2_1966,0.630418062210083,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.89392581932202,-0.037512268614508223]}"
1_1_1_1_2_1981,0.8764436841011047,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.5097234379438,0.952352304294435]}"
1_1_1_1_2_1996,0.8487329483032227,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.86074367859811,0.7381343742047148]}"
1_1_1_1_2_1999,0.8186292052268982,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.46415386397852,-0.3198444082182478]}"
1_1_1_1_2_2016,0.7379629611968994,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.91327061703356,-1.7742045098426467]}"
1_1_1_1_2_2022,0.7851383686065674,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.53443463032883,-2.380450652938827]}"
1_1_1_1_2_2037,0.6651809811592102,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.34705706551176,-0.3458772096984936]}"
1_1_1_1_2_2046,0.8462623953819275,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.07405546270222,0.6653627944521933]}"
1_1_1_1_2_2050,0.8950871229171753,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.88920442084022,-0.4999237024299639]}"
1_1_1_1_2_2057,0.7139554023742676,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.22894078199501,-0.2636089914853484]}"
1_1_1_1_2_2073,0.9287429451942444,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.26082237867013,-1.053806913340279]}"
1_1_1_1_2_2077,0.7142646908760071,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.20765135083596,4.24941113252554]}"
1_1_1_1_2_2080,0.6671390533447266,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.35820059457807,2.031205954702657]}"
1_1_1_1_2_2108,0.8587419986724854,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.6159148556004,0.03545746088850245]}"
1_1_1_1_2_2117,0.7081334590911865,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.96872373707363,0.30244474821154277]}"
1_1_1_1_2_2122,0.7995005249977112,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.22431512645402,-2.792676181466502]}"
1_1_1_1_2_2123,0.8603858947753906,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.58045696712846,-2.8136221504642243]}"
1_1_1_1_2_2124,0.9069569706916809,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.41647686919191,-1.0848427291179308]}"
1_1_1_1_2_2128,0.44773659110069275,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.97928448207259,-2.044085637269647]}"
1_1_1_1_2_2135,0.7385437488555908,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.51030540861959,-1.4149810661964868]}"
1_1_1_1_2_2147,0.8565164804458618,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.19395613498301,-0.7327068918087903]}"
1_1_1_1_2_2151,0.8705759644508362,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.97081196226111,-1.4820026352849727]}"
1_1_1_1_2_2160,0.8657167553901672,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.29963984476993,-1.6543086941836282]}"
1_1_1_1_2_2187,0.805576741695404,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.65641117725863,4.088307842580376]}"
1_1_1_1_2_2203,0.7925337553024292,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.24783849953948,-3.346269967957936]}"
1_1_1_1_2_2206,0.8473905920982361,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.08702836781241,-1.6474216802756265]}"
1_1_1_1_2_2227,0.9575643539428711,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.1731703912703,1.2162492284552806]}"
1_1_1_1_2_2247,0.8728712201118469,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.24758350697151,-1.2818846567447744]}"
1_1_1_1_2_2260,0.9448426365852356,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.44650423509343,-2.1023808870585334]}"
1_1_1_1_2_2280,0.9165119528770447,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.47534639668466,0.11465474266789928]}"
1_1_1_1_2_2284,0.8613212704658508,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.07342087838713,-2.1591175531306126]}"
1_1_1_1_2_2292,0.7333194017410278,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.81953435458381,-2.3561054558475485]}"
1_1_1_1_2_2296,0.35965144634246826,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.55753424608923,-2.430872982170585]}"
1_1_1_1_2_2299,0.6727753281593323,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.5943247205991,2.251622224195147]}"
