driver,system:index,.geo
Permanent Agriculture,1_1_1_1_2_2423,"{""type"":""Point"",""coordinates"":[117.8529757841064,1.4153478921150886]}"
Permanent Agriculture,1_1_1_1_2_2426,"{""type"":""Point"",""coordinates"":[109.26824823649429,-0.21169020432673621]}"
Permanent Agriculture,1_1_1_1_2_2429,"{""type"":""Point"",""coordinates"":[114.87701160778511,-0.43281070892255735]}"
Permanent Agriculture,1_1_1_1_2_2430,"{""type"":""Point"",""coordinates"":[109.192202925357,1.1447030318679354]}"
Permanent Agriculture,1_1_1_1_2_2438,"{""type"":""Point"",""coordinates"":[109.29767572261167,0.9906438887343101]}"
Permanent Agriculture,1_1_1_1_2_2473,"{""type"":""Point"",""coordinates"":[109.3919224780707,-0.3370298916686459]}"
Permanent Agriculture,1_1_1_1_2_2483,"{""type"":""Point"",""coordinates"":[111.14915532367309,-1.8456210136126088]}"
Permanent Agriculture,1_1_1_1_2_2496,"{""type"":""Point"",""coordinates"":[110.76879901096844,-0.7130368544451632]}"
Permanent Agriculture,1_1_1_1_2_2517,"{""type"":""Point"",""coordinates"":[111.09509958266267,0.7339425923930816]}"
Permanent Agriculture,1_1_1_1_2_2525,"{""type"":""Point"",""coordinates"":[114.95268325319228,-1.8892245061338546]}"
Permanent Agriculture,1_1_1_1_2_2547,"{""type"":""Point"",""coordinates"":[117.3099624057522,3.5170656727202494]}"
Permanent Agriculture,1_1_1_1_2_2563,"{""type"":""Point"",""coordinates"":[109.81073486675773,0.010229423964895356]}"
Permanent Agriculture,1_1_1_1_2_2584,"{""type"":""Point"",""coordinates"":[109.76862638083757,-0.11654257506483327]}"
